"Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"Twins","1450","7.0 %","19.9 %","0.35","9",".346",".541",".887",".253","3.8",".311","242","61.7",".368","132"
"Mariners","1525","9.2 %","23.0 %","0.40","23",".333",".492",".825",".233","4.4",".289","225","36.1",".346","117"
"Cubs","1372","9.5 %","23.8 %","0.40","8",".338",".470",".809",".212","3.0",".297","197","26.6",".341","110"
"Astros","1352","9.2 %","16.9 %","0.55","21",".333",".474",".807",".213","4.5",".275","192","23.9",".339","113"
"Diamondbacks","1656","7.4 %","21.7 %","0.34","22",".328",".482",".810",".213","5.2",".306","234","28.2",".338","108"
"Yankees","1327","10.2 %","21.9 %","0.47","17",".340",".458",".798",".197","4.2",".298","187","22.4",".338","112"
"Rays","1308","8.9 %","22.7 %","0.39","20",".339",".452",".791",".186","4.5",".316","182","20.1",".336","111"
"Red Sox","1489","10.1 %","21.8 %","0.46","24",".337",".443",".780",".184","4.4",".298","201","16.3",".331","107"
"Athletics","1473","8.4 %","21.2 %","0.40","12",".328",".450",".778",".193","3.8",".292","197","14.4",".329","106"
"Rangers","1340","9.8 %","27.9 %","0.35","28",".336",".433",".769",".181","4.8",".331","177","10.7",".328","105"
"Dodgers","1424","10.5 %","21.2 %","0.50","8",".333",".426",".760",".180","3.9",".287","182","5.3",".323","98"
"Padres","1231","7.1 %","27.1 %","0.26","11",".309",".449",".757",".200","3.8",".304","154","1.5",".320","96"
"Brewers","1387","9.9 %","24.7 %","0.40","24",".326",".430",".756",".189","4.5",".288","174","2.4",".320","97"
"Braves","1349","8.7 %","20.8 %","0.42","13",".324",".423",".747",".171","4.3",".292","166","-1.7",".318","94"
"Angels","1296","9.2 %","15.2 %","0.60","10",".334",".406",".740",".150","3.4",".279","160","-0.5",".317","99"
"Cardinals","1356","8.9 %","24.3 %","0.37","21",".316",".420",".736",".180","4.0",".286","163","-5.4",".314","92"
"Nationals","1425","8.5 %","23.2 %","0.37","18",".318",".413",".731",".167","4.9",".295","168","-9.3",".312","90"
"Pirates","1483","6.9 %","22.7 %","0.30","13",".315",".406",".721",".147","4.4",".316","169","-14.9",".307","88"
"Mets","1461","7.7 %","24.2 %","0.32","12",".309",".401",".711",".156","3.9",".304","163","-18.6",".304","86"
"Phillies","1275","8.4 %","22.5 %","0.37","10",".311",".404",".716",".161","4.1",".296","141","-16.9",".304","85"
"Royals","1204","8.2 %","25.7 %","0.32","25",".303",".403",".706",".167","5.5",".293","131","-18.4",".300","87"
"Indians","1173","9.1 %","23.4 %","0.39","24",".307",".396",".703",".165","4.6",".275","127","-18.1",".300","87"
"Giants","1233","8.1 %","22.1 %","0.37","11",".301",".401",".702",".168","3.8",".272","133","-19.8",".299","83"
"Blue Jays","1323","9.1 %","24.6 %","0.37","15",".308",".384",".691",".149","3.4",".289","141","-23.2",".298","85"
"White Sox","1222","6.5 %","26.0 %","0.25","22",".299",".388",".688",".145","4.1",".306","128","-23.6",".295","83"
"Orioles","1289","6.7 %","25.5 %","0.26","17",".296",".390",".687",".150","4.0",".300","133","-27.1",".293","82"
"Tigers","1271","8.4 %","27.9 %","0.30","16",".295",".392",".688",".165","4.0",".292","130","-27.2",".293","82"
"Marlins","1174","7.2 %","23.1 %","0.31","9",".300",".366",".666",".125","2.6",".296","113","-32.2",".286","74"
"Rockies","1309","6.3 %","27.3 %","0.23","15",".280",".384",".663",".158","4.8",".290","121","-41.1",".283","71"
"Reds","1356","7.5 %","22.9 %","0.33","16",".285",".368",".653",".147","3.3",".260","123","-45.7",".279","70"
