Player,Position,Team,PA,OPS,OPS%,LD,LD%,last7OPS,last7OPS%,Opp Pitcher,Vegas TT,Vegas Pts,Opp WHIP,WHIP Pts,Opp xFIP,xFIP Pts,Opp Relief,Rel Pts,Opp Hand,Hand wOBA,Hand wOBA%,wOBA Diff,Salary,Score,Value
Bryan Reynolds,OF,Pirates,93,0.929,88.3,0.197,41.3,1.324,95.1,Ryu,3.31,-25.8,0.62,-17.3,2.77,-43.7,4.28,-1.2,L,0.565,97.4,0.252,3400,173,5.09
Jose Martinez,OF,Cardinals,159,0.792,58.1,0.296,92.7,0.205,3.2,Soroka,4.75,3,0.74,-13.7,3.94,-8.6,4.63,4,R,0.322,50.7,-0.126,3500,85,2.43
Cole Tucker,SS,Pirates,90,0.464,7.5,0.182,32.6,0,0.6,Ryu,3.31,-25.8,0.62,-17.3,2.77,-43.7,4.28,-1.2,L,0.221,20.2,0.034,2200,-59,-2.68
Hunter Pence,OF,Rangers,126,1.014,94.3,0.172,28.3,1.143,86.2,Skaggs,4.06,-10.8,1.48,8.5,4.67,13.3,4.58,3.3,L,0.377,73.9,-0.054,4800,235,4.9
Paul DeJong,SS,Cardinals,218,0.934,88.7,0.258,81.2,0.789,48.6,Soroka,4.75,3,0.74,-13.7,3.94,-8.6,4.63,4,R,0.377,82.1,-0.123,4500,174,3.87
Steve Wilkerson,OF,Orioles,103,0.731,42.3,0.246,77.4,0.438,12.8,Freeland,4.79,3.8,1.7,15.1,6.82,77.8,4.76,6,L,0.064,7.4,-0.311,4400,158,3.59
Luis Rengifo,2B,Angels,52,0.511,10.2,0.206,47.4,0.558,23.7,Minor,4.44,-3.2,1.29,2.8,3.07,-34.7,4.85,7.3,L,0.232,23.1,0.007,2800,30,1.07
Michael Brantley,OF,Astros,211,0.928,87.9,0.218,58.2,0.84,56.9,Price,4.48,-2.4,1.12,-2.3,3.55,-20.3,3.94,-6.3,L,0.335,55.4,-0.073,4400,150,3.41
Corey Seager,SS,Dodgers,199,0.693,34,0.209,49.3,0.462,15,Musgrove,4.69,1.8,1.32,3.7,5.14,27.4,4.28,-1.2,R,0.321,49.8,0.046,3900,121,3.1
Sandy Leon,C,Red Sox,48,0.573,13.2,0.097,10.8,0.408,10.5,Peacock,4.02,-11.6,1.05,-4.4,3.86,-11,3.5,-12.9,R,0.256,20.7,-0.026,2600,-5,-0.19
Ryan McMahon,1B/2B,Rockies,127,0.775,52.6,0.234,71.7,1.352,95.5,Cashner,6.71,42.2,1.18,-0.5,4.12,-3.2,4.84,7.2,R,0.309,42.7,-0.091,4600,226,4.91
Trey Mancini,1B/OF,Orioles,207,0.89,81.9,0.253,80.2,0.699,39.5,Freeland,4.79,3.8,1.7,15.1,6.82,77.8,4.76,6,L,0.431,86.1,0.085,5500,294,5.35
Joe Musgrove,SP,Pirates,19,0.229,2.6,0.167,25.3,0.229,3.6,Ryu,3.31,-25.8,0.62,-17.3,2.77,-43.7,4.28,-1.2,L,0,3.5,-0.161,6800,-86,-1.26
Russell Martin,C,Dodgers,62,0.807,62.3,0.263,83.5,1.089,82.2,Musgrove,4.69,1.8,1.32,3.7,5.14,27.4,4.28,-1.2,R,0.379,82.8,0.066,3500,243,6.94
Shohei Ohtani,OF,Angels,63,0.679,29.6,0.342,97.6,0.544,21.9,Minor,4.44,-3.2,1.29,2.8,3.07,-34.7,4.85,7.3,L,0.314,47,0.016,3700,73,1.97
Francisco Cervelli,C,Pirates,122,0.513,10.6,0.169,26.2,0.513,18.2,Ryu,3.31,-25.8,0.62,-17.3,2.77,-43.7,4.28,-1.2,L,0.168,11.1,-0.089,2100,-54,-2.57
Logan Forsythe,1B/SS,Rangers,145,1.2 HOT,100,0.275,85.9,0.476,15.8,Skaggs,4.06,-10.8,1.48,8.5,4.67,13.3,4.58,3.3,L,0.365,69.8,-0.026,4000,185,4.62
Jackie Bradley Jr.,OF,Red Sox,168,0.531,11.7,0.124,13.2,0.887,61.1,Peacock,4.02,-11.6,1.05,-4.4,3.86,-11,3.5,-12.9,R,0.286,32.2,0.168,3100,65,2.1
Jonathan Villar,2B/SS,Orioles,224,0.679,29.6,0.208,48.6,0.416,11.7,Freeland,4.79,3.8,1.7,15.1,6.82,77.8,4.76,6,L,0.194,14.3,-0.141,4700,153,3.26
Josh Donaldson,3B,Braves,198,0.837,69.8,0.216,56.2,0.654,33.6,Hudson,4.75,3,1.47,8.2,4.32,2.8,3.94,-6.3,R,0.371,77.3,0.038,4000,167,4.17
