Name,Pos,Team,Home?,Time,Opp,Pitcher,AB,H,XBH,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Yonder Alonso,1B,CWS,No,2:10 PM,MIN,Kyle Gibson,11,1,1,1,1,1,1,.091,.167,.364,.530
Leury Garcia,OF,CWS,No,2:10 PM,MIN,Kyle Gibson,10,2,1,0,1,0,4,.200,.200,.300,.500
Whit Merrifield,2B,KC,Yes,2:15 PM,NYY,J.A. Happ,11,1,1,1,2,1,4,.091,.167,.364,.530
Joey Votto,1B,CIN,No,2:20 PM,CHC,Yu Darvish,10,2,0,0,0,2,4,.200,.333,.200,.533
Edwin Encarnacion,1B,SEA,No,4:07 PM,OAK,Mike Fiers,25,3,3,2,3,2,7,.120,.214,.400,.614
Francisco Lindor,SS,CLE,Yes,4:10 PM,TB,Charlie Morton,11,2,2,0,0,0,1,.182,.250,.364,.614
Orlando Arcia,SS,MIL,Yes,4:10 PM,PHI,Jake Arrieta,13,2,0,0,0,1,3,.154,.214,.154,.368
Avisail Garcia,OF,TB,No,4:10 PM,CLE,Carlos Carrasco,36,7,2,1,1,1,12,.194,.216,.306,.522
Mitch Moreland,1B,BOS,No,7:15 PM,HOU,Brad Peacock,13,2,1,1,1,1,6,.154,.214,.385,.599
Carlos Correa,SS,HOU,Yes,7:15 PM,BOS,David Price,10,2,1,1,1,2,4,.200,.333,.500,.833
Jake Marisnick,OF,HOU,Yes,7:15 PM,BOS,David Price,12,1,1,1,2,0,5,.083,.083,.333,.417
Josh Reddick,OF,HOU,Yes,7:15 PM,BOS,David Price,11,0,0,0,0,0,3,.000,.000,.000,.000
Nomar Mazara,OF,TEX,No,10:07 PM,LAA,Tyler Skaggs,19,4,1,0,1,0,5,.211,.211,.263,.474
Rougned Odor,2B,TEX,No,10:07 PM,LAA,Tyler Skaggs,17,0,0,0,0,1,3,.000,.105,.000,.105
