"Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"Rockies","1394","9.3 %","20.6 %","0.45","10",".371",".528",".899",".225","5.1",".352","238","65.5",".374","102"
"Dodgers","1293","9.9 %","18.9 %","0.52","15",".361",".508",".869",".226","4.3",".307","208","47.7",".363","132"
"Braves","1393","10.1 %","22.7 %","0.45","13",".351",".483",".834",".211","4.6",".318","210","37.1",".350","114"
"Astros","1361","10.4 %","18.8 %","0.55","16",".351",".471",".823",".200","4.2",".298","204","34.7",".348","127"
"Brewers","1331","9.8 %","24.3 %","0.40","18",".340",".480",".819",".214","3.7",".310","196","30.8",".344","111"
"Twins","1178","9.5 %","20.1 %","0.47","9",".335",".480",".815",".224","4.2",".282","172","25.7",".343","112"
"Red Sox","1308","10.0 %","20.5 %","0.49","15",".341",".455",".796",".193","4.4",".303","183","20.8",".337","102"
"Angels","1409","10.1 %","18.2 %","0.55","18",".339",".458",".798",".202","4.4",".277","198","23.0",".336","118"
"Rangers","1360","9.5 %","22.6 %","0.42","29",".335",".459",".795",".199","6.2",".306","190","21.1",".336","96"
"Mets","1208","9.4 %","23.4 %","0.40","11",".338",".448",".786",".195","3.6",".295","166","15.7",".334","117"
"Cubs","1317","11.3 %","22.5 %","0.50","8",".342",".437",".779",".188","3.7",".296","175","11.8",".330","103"
"Nationals","1205","8.7 %","22.7 %","0.38","19",".330",".440",".770",".184","4.0",".302","159","9.1",".327","98"
"Phillies","1371","10.8 %","22.0 %","0.49","11",".333",".436",".769",".192","4.0",".284","179","8.5",".326","102"
"Rays","1384","9.0 %","25.7 %","0.35","22",".336",".426",".762",".165","4.8",".332","181","9.2",".326","109"
"Reds","1146","9.0 %","24.3 %","0.37","13",".322",".443",".765",".198","4.3",".287","147","4.3",".324","95"
"Yankees","1270","8.7 %","23.9 %","0.37","12",".324",".435",".759",".183","4.0",".297","162","4.4",".322","99"
"White Sox","1274","7.6 %","24.1 %","0.32","17",".327",".422",".749",".158","3.7",".323","160","1.4",".319","102"
"Pirates","1186","7.0 %","19.6 %","0.36","15",".321",".424",".745",".162","4.6",".308","143","-4.5",".315","97"
"Cardinals","1223","9.6 %","20.0 %","0.48","22",".334",".395",".729",".143","4.7",".295","146","-6.1",".314","96"
"Mariners","1332","10.2 %","27.3 %","0.37","28",".310",".412",".722",".186","4.7",".278","156","-9.4",".310","103"
"Diamondbacks","1146","8.2 %","22.6 %","0.36","14",".308",".416",".724",".180","5.2",".281","131","-11.2",".308","85"
"Orioles","1301","7.0 %","22.0 %","0.32","17",".302",".414",".716",".176","4.6",".274","147","-14.0",".306","89"
"Royals","1371","7.4 %","21.7 %","0.34","43",".310",".401",".711",".153","6.4",".300","154","-16.6",".304","86"
"Athletics","1273","9.0 %","19.4 %","0.46","12",".306",".403",".709",".173","3.8",".253","142","-15.5",".304","94"
"Indians","1356","10.8 %","22.7 %","0.47","18",".316",".385",".701",".158","3.7",".268","150","-18.3",".302","80"
"Padres","1328","7.8 %","26.4 %","0.29","20",".288",".390",".679",".166","3.9",".271","130","-34.3",".289","81"
"Tigers","1226","6.6 %","24.4 %","0.27","14",".291",".369",".660",".135","5.1",".296","115","-37.2",".282","74"
"Blue Jays","1218","6.7 %","24.9 %","0.27","3",".267",".377",".644",".169","3.1",".242","106","-45.2",".274","70"
"Marlins","1318","6.4 %","24.3 %","0.26","13",".292",".332",".623",".100","3.4",".295","111","-52.7",".272","75"
"Giants","1249","7.8 %","25.1 %","0.31","12",".279",".335",".615",".121","3.7",".272","99","-56.4",".266","67"
