Name,Pos,Team,Home?,Time,Opp,Pitcher,AB,H,XBH,HR,RBI,BB,K,AVG,OBP,SLG,OPS
Alex Gordon,OF,KC,Yes,2:15 PM,NYY,J.A. Happ,16,5,2,1,3,4,3,.313,.450,.563,1.013
Brett Gardner,OF,NYY,No,2:15 PM,KC,Jakob Junis,10,3,1,1,2,1,0,.300,.417,.600,1.017
Ian Kinsler,2B,SD,No,3:07 PM,TOR,Edwin Jackson,20,7,3,2,7,2,4,.350,.409,.700,1.109
Kyle Seager,3B,SEA,No,4:07 PM,OAK,Mike Fiers,17,6,2,1,3,1,1,.353,.389,.588,.977
Gordon Beckham,2B,DET,No,4:10 PM,NYM,Jason Vargas,15,6,2,1,3,2,1,.400,.471,.667,1.137
Miguel Cabrera,1B,DET,No,4:10 PM,NYM,Jason Vargas,20,6,5,1,4,8,2,.300,.500,.650,1.150
Hernan Perez,2B,MIL,Yes,4:10 PM,PHI,Jake Arrieta,19,7,1,1,1,2,1,.368,.429,.526,.955
Christian Yelich,OF,MIL,Yes,4:10 PM,PHI,Jake Arrieta,15,4,1,1,2,2,3,.267,.389,.467,.856
Ryan Braun,OF,MIL,Yes,4:10 PM,PHI,Jake Arrieta,33,9,3,3,11,3,6,.273,.333,.545,.879
Lorenzo Cain,OF,MIL,Yes,4:10 PM,PHI,Jake Arrieta,12,6,1,0,2,1,2,.500,.538,.583,1.122
Daniel Murphy,2B,COL,Yes,9:10 PM,BAL,Andrew Cashner,14,6,2,1,4,1,1,.429,.438,.714,1.152
Charlie Blackmon,OF,COL,Yes,9:10 PM,BAL,Andrew Cashner,23,8,5,2,5,0,5,.348,.375,.783,1.158
Mike Trout,OF,LAA,Yes,10:07 PM,TEX,Mike Minor,11,4,1,1,1,0,1,.364,.417,.636,1.053
Zack Cozart,3B,LAA,Yes,10:07 PM,TEX,Mike Minor,15,4,3,2,2,1,3,.267,.313,.800,1.113
Jonathan Lucroy,C,LAA,Yes,10:07 PM,TEX,Mike Minor,16,5,3,1,2,1,3,.313,.353,.625,.978
Shin-Soo Choo,OF,TEX,No,10:07 PM,LAA,Tyler Skaggs,16,8,4,0,1,4,3,.500,.600,.750,1.350
Logan Forsythe,2B,TEX,No,10:07 PM,LAA,Tyler Skaggs,10,5,2,0,1,0,0,.500,.500,.700,1.200
