"Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+"
"Twins","1041","7.7 %","20.8 %","0.37",".292",".355",".543",".898",".251","3.9",".323","-1.7","1.3","-1.2","179","49.7",".374","134"
"Rockies","1061","7.9 %","21.4 %","0.37",".289",".352",".484",".835",".195","4.6",".343","0.3","-0.1","-0.8","162","30.8",".352","102"
"Brewers","973","9.0 %","24.3 %","0.37",".265",".338",".503",".841",".238","4.6",".305","1.2","-0.4","1.5","148","27.3",".351","116"
"Dodgers","989","9.5 %","19.6 %","0.48",".278",".352",".487",".839",".209","3.6",".313","1.3","1.2","-0.3","150","27.4",".351","120"
"Braves","1093","9.1 %","21.8 %","0.42",".270",".344",".486",".830",".215","4.5",".309","-0.2","0.5","-1.1","163","27.8",".348","113"
"Nationals","1042","9.2 %","18.4 %","0.50",".273",".349",".470",".819",".197","4.9",".307","-0.6","-0.6","0.0","153","24.1",".345","110"
"Red Sox","1110","8.6 %","22.3 %","0.38",".268",".336",".480",".816",".212","4.9",".312","0.9","-0.1","1.0","161","23.5",".343","111"
"Yankees","1021","9.6 %","22.7 %","0.42",".264",".336",".467",".803",".203","4.2",".304","-1.3","0.7","-0.6","145","18.2",".339","112"
"Rays","1106","7.6 %","23.7 %","0.32",".276",".343",".452",".795",".177","3.7",".336","1.0","0.8","-0.6","156","18.9",".338","115"
"Athletics","1047","7.5 %","20.9 %","0.36",".258",".323",".480",".803",".222","4.2",".283","0.9","0.0","-0.1","147","16.7",".337","114"
"Cubs","1097","9.6 %","23.9 %","0.40",".253",".332",".463",".795",".210","3.1",".293","0.3","0.2","-2.3","152","16.2",".335","107"
"Pirates","1152","6.3 %","19.4 %","0.33",".287",".338",".460",".798",".173","4.7",".332","-0.5","0.9","1.3","160","16.9",".335","108"
"Angels","1062","10.2 %","18.6 %","0.55",".258",".345",".437",".782",".178","3.5",".288","0.5","-1.0","-0.9","145","13.2",".333","112"
"Rangers","1148","9.0 %","24.5 %","0.37",".268",".341",".440",".781",".173","5.3",".333","1.0","-0.2","1.9","156","13.3",".332","100"
"Mariners","1102","9.4 %","25.0 %","0.38",".246",".322",".443",".765",".196","4.2",".292","0.8","0.7","2.0","144","7.0",".325","109"
"Mets","1059","7.4 %","22.4 %","0.33",".252",".316",".458",".774",".207","3.9",".285","-2.6","-0.8","-0.3","138","6.7",".325","106"
"Indians","1032","10.4 %","19.5 %","0.53",".240",".325",".442",".767",".202","4.8",".264","1.5","0.3","0.0","134","5.6",".324","99"
"Padres","1011","8.6 %","26.5 %","0.32",".246",".317",".431",".748",".185","4.2",".302","-1.7","-1.4","0.4","126","0.2",".318","98"
"Diamondbacks","1057","7.6 %","20.7 %","0.37",".248",".313",".446",".759",".198","5.0",".276","-0.1","-0.5","0.7","131","0.2",".318","94"
"Reds","907","7.8 %","22.8 %","0.34",".258",".320",".419",".739",".160","3.2",".310","-1.8","0.4","-0.7","109","-3.5",".313","90"
"Phillies","1000","8.2 %","21.9 %","0.37",".241",".306",".440",".746",".199","4.4",".275","0.2","0.9","-1.0","120","-4.6",".313","92"
"Astros","1014","10.3 %","16.6 %","0.62",".239",".322",".407",".729",".167","4.9",".257","0.1","-0.4","0.5","120","-5.6",".312","98"
"Orioles","1019","6.7 %","23.6 %","0.28",".243",".305",".422",".727",".178","4.2",".288","-0.6","0.2","-1.1","119","-7.2",".310","93"
"Marlins","996","6.3 %","21.5 %","0.29",".263",".317",".409",".727",".147","3.6",".315","0.5","-1.9","-0.7","115","-8.2",".308","93"
"Blue Jays","1003","8.1 %","22.5 %","0.36",".226",".292",".414",".707",".188","3.5",".252","-1.3","-0.1","1.0","109","-15.4",".300","87"
"White Sox","959","6.4 %","23.7 %","0.27",".252",".306",".388",".694",".136","2.8",".309","1.6","1.7","-2.9","102","-17.0",".297","86"
"Tigers","978","6.5 %","25.8 %","0.25",".242",".294",".395",".689",".153","5.2",".305","-0.4","1.1","1.5","99","-22.8",".291","80"
"Cardinals","917","8.0 %","23.9 %","0.33",".221",".291",".382",".673",".161","4.8",".259","1.4","0.5","3.2","91","-22.6",".289","78"
"Giants","937","8.8 %","22.7 %","0.38",".226",".297",".359",".656",".134","3.7",".273","-1.1","0.9","0.1","88","-27.8",".283","75"
"Royals","947","6.1 %","25.7 %","0.24",".238",".289",".365",".654",".127","5.4",".306","0.2","0.1","3.1","88","-29.8",".281","72"
