"Name","Team","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","UBR","wGDP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Aaron Altherr","Mets","1","0.0 %","0.0 %","0.00","1.000","1.000","4.000","5.000","3.000","0.1",".000","","","0.0","2","1.4","1.980","1211","11270"
"Zack Greinke","Diamondbacks","2","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.9",".874","466","1943"
"Gregory Soto","Tigers","2","0.0 %","0.0 %","0.00","1.000","1.000","1.000","2.000",".000","0.1","1.000","","","0.0","1","0.9",".874","471","19677"
"Keon Broxton","Orioles","4","0.0 %","50.0 %","0.00",".500",".500","1.250","1.750",".750","0.1","1.000","","","0.0","2","1.3",".713","363","9253"
"Dustin Garneau","Angels","1","100.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","2.6",".000","","","0.0","0","0.3",".690","351","9433"
"John Means","Orioles","2","50.0 %","0.0 %","1.00",".000","1.000",".000","1.000",".000","0.1",".000","","","0.0","1","0.6",".690","347","16269"
"Jon Berti","Marlins","4","25.0 %","25.0 %","1.00",".333",".500","1.333","1.833","1.000","2.6",".000","0.1","0.0","0.0","2","1.2",".667","335","12037"
"Lourdes Gurriel Jr.","Blue Jays","3","0.0 %","33.3 %","0.00",".333",".333","1.333","1.667","1.000","0.1",".000","0.0","0.0","0.0","1","0.9",".660","328","19238"
"Pablo Sandoval","Giants","11","0.0 %","45.5 %","0.00",".455",".455","1.091","1.545",".636","0.1",".750","0.0","0.0","0.0","4","2.9",".631","309","5409"
"Tyler Chatwood","Cubs","3","0.0 %","0.0 %","0.00",".500",".500","1.000","1.500",".500","0.1",".500","","","0.0","1","0.8",".615","295","4338"
"Nick Hundley","Athletics","11","9.1 %","9.1 %","1.00",".400",".455","1.100","1.555",".700","0.1",".286","-0.1","-0.2","0.0","4","2.7",".614","299","3376"
"Josh Bell","Pirates","26","11.5 %","19.2 %","0.60",".435",".500","1.043","1.543",".609","1.6",".429","-0.3","0.0","0.0","10","6.5",".613","296","13145"
"Juan Soto","Nationals","29","10.3 %","17.2 %","0.60",".500",".552",".962","1.513",".462","3.4",".579","-0.3","0.0","0.0","11","7.2",".612","291","20123"
"Max Kepler","Twins","27","14.8 %","7.4 %","2.00",".500",".556",".955","1.510",".455","6.0",".474","0.0","0.0","0.2","10","6.3",".593","281","12144"
"Guillermo Heredia","Rays","8","0.0 %","12.5 %","0.00",".625",".625",".750","1.375",".125","2.0",".714","0.0","0.0","0.0","3","1.8",".591","284","18721"
"Gleyber Torres","Yankees","24","16.7 %","20.8 %","0.80",".400",".500","1.000","1.500",".600","1.9",".364","-0.2","0.0","0.0","8","5.5",".590","280","16997"
"Brett Gardner","Yankees","20","10.0 %","20.0 %","0.50",".500",".550",".889","1.439",".389","5.8",".615","0.0","0.0","0.2","7","4.6",".589","279","9927"
"Renato Nunez","Orioles","23","17.4 %","21.7 %","0.80",".333",".478","1.056","1.534",".722","1.6",".222","0.0","0.0","0.0","8","5.2",".587","278","14503"
"Anthony Rizzo","Cubs","31","9.7 %","9.7 %","1.00",".429",".484",".929","1.412",".500","5.6",".381","0.2","0.1","0.2","10","6.6",".571","266","3473"
"Hanser Alberto","Orioles","22","0.0 %","4.5 %","0.00",".524",".545",".810","1.355",".286","6.3",".526","0.0","0.1","0.4","7","4.7",".568","266","11902"
"Carlos Santana","Indians","30","33.3 %","10.0 %","3.33",".350",".567",".900","1.467",".550","0.9",".286","0.0","-0.1","0.0","10","6.3",".568","262","2396"
"Tyler Austin","Giants","13","15.4 %","38.5 %","0.40",".273",".385","1.091","1.476",".818","2.6",".000","0.2","0.0","0.0","4","2.7",".563","264","11850"
"Ildemaro Vargas","Diamondbacks","10","0.0 %","10.0 %","0.00",".500",".500",".800","1.300",".300","2.6",".500","0.0","0.0","0.0","3","1.9",".547","249","13324"
"David Freese","Dodgers","10","20.0 %","20.0 %","1.00",".375",".500",".875","1.375",".500","2.6",".400","-0.1","0.0","0.0","3","1.9",".546","254","9549"
"Ryan McMahon","Rockies","14","7.1 %","28.6 %","0.25",".385",".429",".923","1.352",".538","2.6",".429","0.1","0.1","0.0","4","2.7",".545","233","15112"
"Bryan Reynolds","Pirates","22","22.7 %","9.1 %","2.50",".353",".500",".824","1.324",".471","1.6",".308","0.0","0.1","0.0","7","3.9",".528","239","19326"
"Miguel Sano","Twins","24","16.7 %","29.2 %","0.57",".263",".375","1.053","1.428",".789","2.6",".000","","","0.0","7","4.3",".527","237","12164"
"Jon Gray","Rockies","4","25.0 %","25.0 %","1.00",".500",".667",".500","1.167",".000","0.1","1.000","","","0.0","1","0.7",".521","218","14916"
"Anthony Rendon","Nationals","31","22.6 %","12.9 %","1.75",".333",".484",".833","1.317",".500","2.1",".294","0.3","-0.2","0.0","9","5.2",".517","228","12861"
"Luis Arraez","Twins","20","20.0 %","0.0 %","4.00",".467",".550",".733","1.283",".267","1.4",".400","","","0.0","6","3.4",".517","230","18568"
"Matt Olson","Athletics","24","20.8 %","20.8 %","1.00",".333",".500",".778","1.278",".444","0.9",".364","-0.1","0.0","0.0","7","3.8",".506","227","14344"
"Tim Locastro","Diamondbacks","6","0.0 %","16.7 %","0.00",".333",".667",".333","1.000",".000","2.6",".500","0.0","0.0","0.0","2","1.0",".505","220","15124"
"Martin Maldonado","Royals","8","12.5 %","0.0 %","1.00",".500",".625",".500","1.125",".000","1.1",".500","-0.1","0.0","0.0","2","1.3",".504","222","6887"
"Max Stassi","Astros","8","12.5 %","12.5 %","1.00",".500",".625",".500","1.125",".000","0.1",".600","0.0","0.0","0.0","2","1.3",".504","227","10059"
"Nolan Arenado","Rockies","26","7.7 %","0.0 %","2.00",".417",".462",".750","1.212",".333","0.8",".364","0.1","0.1","0.0","7","4.0",".502","205","9777"
"Yasmani Grandal","Brewers","22","27.3 %","18.2 %","1.50",".375",".545",".688","1.233",".313","0.1",".455","-0.1","0.0","0.0","6","3.4",".500","218","11368"
"Freddie Freeman","Braves","33","9.1 %","6.1 %","1.50",".367",".424",".800","1.224",".433","0.1",".292","0.0","0.1","0.0","9","5.1",".499","216","5361"
"Jonathan Schoop","Twins","23","0.0 %","17.4 %","0.00",".286",".348",".905","1.253",".619","2.6",".154","0.0","0.1","0.0","6","3.5",".498","217","11265"
"Mike Trout","Angels","27","22.2 %","14.8 %","1.50",".300",".481",".750","1.231",".450","2.0",".286","0.3","0.0","0.0","7","4.1",".496","221","10155"
"Harrison Bader","Cardinals","18","5.6 %","33.3 %","0.17",".438",".500",".688","1.188",".250","5.1",".700","-0.1","0.1","0.0","5","2.7",".495","217","18030"
"Joey Gallo","Rangers","20","15.0 %","30.0 %","0.50",".353",".450",".765","1.215",".412","1.3",".444","0.1","0.1","0.0","5","3.0",".494","209","14128"
"C.J. Cron","Twins","26","3.8 %","23.1 %","0.17",".333",".385",".833","1.218",".500","2.6",".333","-0.1","0.1","0.0","7","3.8",".492","213","12546"
"John Ryan Murphy","Diamondbacks","9","11.1 %","22.2 %","0.50",".286",".375",".857","1.232",".571","0.1",".250","0.1","0.0","0.0","2","1.3",".487","209","10346"
"Steve Pearce","Red Sox","20","15.0 %","20.0 %","0.75",".438",".500",".688","1.188",".250","0.2",".500","-0.1","-0.2","0.0","5","2.8",".482","204","9957"
