"Name","Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","playerid"
"Rajai Davis","Mets","3","0.0 %","0.0 %","0.00","0",".667","1.667","2.333","1.000","2.6",".500","2","1.6",".951","525","3708"
"Adeiny Hechavarria","Mets","3","0.0 %","0.0 %","0.00","0",".667","1.667","2.333","1.000","2.6",".500","2","1.6",".951","525","10459"
"Francisco Liriano","Pirates","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.5",".874","470","3201"
"Drew Gagnon","Mets","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.5",".874","474","12545"
"Max Fried","Braves","2","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","2.6","1.000","1","0.9",".874","466","13743"
"Taylor Clarke","Diamondbacks","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.5",".874","466","17611"
"Matt Beaty","Dodgers","2","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.9",".874","472","17710"
"Austin Riley","Braves","12","8.3 %","25.0 %","0.33","0",".583","1.636","2.220","1.091","2.1",".500","7","5.5",".863","459","18360"
"Phillip Ervin","Reds","8","37.5 %","0.0 %","3.00","0",".875","1.400","2.275",".600","4.4",".800","4","3.4",".825","433","14738"
"Dakota Hudson","Cardinals","2","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.8",".796","418","19206"
"Victor Caratini","Cubs","5","20.0 %","20.0 %","1.00","0",".800","1.000","1.800",".250","1.1","1.000","2","1.8",".733","374","14968"
"Anthony Santander","Orioles","1","0.0 %","0.0 %","0.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".719","367","14551"
"Mike Ford","Yankees","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".690","347","15585"
"Troy Tulowitzki","Yankees","5","0.0 %","20.0 %","0.00","0",".400","1.200","1.600",".800","0.1",".333","2","1.4",".642","315","3531"
"Manny Pina","Brewers","12","0.0 %","33.3 %","0.00","0",".583","1.000","1.583",".500","2.6",".800","5","3.2",".635","308","2829"
"Manny Machado","Padres","35","14.3 %","25.7 %","0.56","0",".514","1.034","1.549",".621","1.6",".429","13","8.6",".608","294","11493"
"Corbin Burnes","Brewers","4","0.0 %","25.0 %","0.00","0",".667",".667","1.333",".000","0.1","1.000","1","0.9",".582","272","19361"
"Jon Berti","Marlins","12","25.0 %","8.3 %","3.00","0",".500","1.000","1.500",".667","2.6",".167","4","2.6",".575","274","12037"
"Tomas Nido","Mets","5","0.0 %","20.0 %","0.00","0",".400","1.000","1.400",".600","0.1",".333","2","1.1",".571","272","13755"
"Carson Kelly","Diamondbacks","35","14.3 %","20.0 %","0.71","0",".514",".900","1.414",".467","0.8",".500","12","7.3",".565","260","13620"
"Bryan Reynolds","Pirates","29","6.9 %","17.2 %","0.40","0",".517",".852","1.369",".370","0.1",".550","10","6.0",".565","264","19326"
"Luis Arraez","Twins","4","50.0 %","0.0 %","2.00","0",".750",".500","1.250",".000","1.6",".500","1","0.8",".563","261","18568"
"Javier Baez","Cubs","37","10.8 %","29.7 %","0.36","0",".459",".969","1.428",".563","4.6",".471","12","7.5",".559","258","12979"
"Jake Cave","Twins","5","20.0 %","40.0 %","0.50","0",".600",".750","1.350",".250","1.6","1.000","2","1.0",".559","258","14477"
"Terrance Gore","Royals","13","7.7 %","7.7 %","1.00","3",".615",".667","1.282",".083","3.9",".636","4","2.6",".551","253","13658"
"Zack Greinke","Diamondbacks","13","7.7 %","15.4 %","0.50","0",".500",".818","1.318",".364","2.0",".500","4","2.5",".543","246","1943"
"Carlos Gomez","Mets","5","20.0 %","20.0 %","1.00","0",".600",".667","1.267",".333","2.6",".500","1","0.9",".528","243","4881"
"Austin Wynns","Orioles","4","0.0 %","0.0 %","0.00","0",".500",".750","1.250",".250","0.1",".500","1","0.7",".526","237","15271"
"Josh Reddick","Astros","34","11.8 %","14.7 %","0.80","1",".529",".733","1.263",".267","4.8",".542","10","6.0",".526","242","3892"
"Jean Segura","Phillies","37","5.4 %","16.2 %","0.33","0",".432",".857","1.290",".457","2.6",".423","11","6.5",".525","236","5933"
"Nolan Arenado","Rockies","64","10.9 %","14.1 %","0.78","0",".453",".860","1.313",".474","5.3",".366","19","11.2",".524","220","9777"
"J.D. Martinez","Red Sox","44","9.1 %","18.2 %","0.50","0",".432",".872","1.304",".513","1.1",".320","13","7.7",".524","232","6184"
"Jake Marisnick","Astros","32","6.3 %","31.3 %","0.20","0",".484",".750","1.234",".321","2.1",".625","9","5.2",".512","232","11339"
"Jordan Luplow","Indians","44","11.4 %","31.8 %","0.36","1",".409",".872","1.281",".538","3.0",".368","13","7.2",".512","224","16424"
