"Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"Twins","666","8.1 %","20.1 %","0.40","2",".365",".518",".883",".218","3.5",".336","112","29.4",".369","132"
"Diamondbacks","860","6.6 %","20.2 %","0.33","2",".347",".532",".880",".238","3.9",".332","142","34.8",".365","125"
"Astros","704","11.5 %","18.0 %","0.64","6",".360",".496",".856",".222","4.1",".301","113","25.5",".360","132"
"Nationals","707","8.9 %","21.2 %","0.42","14",".360",".480",".840",".196","5.1",".336","109","20.9",".355","117"
"Athletics","686","8.3 %","17.9 %","0.46","4",".344",".501",".845",".223","3.5",".294","106","20.6",".353","125"
"Mets","656","7.6 %","25.6 %","0.30","5",".339",".470",".809",".199","3.9",".332","95","13.6",".342","117"
"Brewers","727","9.5 %","22.3 %","0.43","12",".333",".469",".802",".213","4.2",".286","103","12.4",".338","107"
"Braves","639","9.2 %","21.4 %","0.43","5",".332",".457",".789",".198","5.3",".299","86","6.8",".332","103"
"Mariners","758","10.7 %","26.3 %","0.41","13",".330",".449",".779",".208","4.6",".290","103","8.6",".331","112"
"Rockies","885","7.7 %","25.8 %","0.30","9",".326",".460",".786",".195","4.7",".336","118","8.4",".331","89"
"Cubs","558","10.4 %","24.9 %","0.42","1",".329",".450",".779",".210","3.0",".279","74","4.8",".329","103"
"Dodgers","924","10.8 %","22.1 %","0.49","6",".340",".436",".775",".182","3.7",".296","123","8.1",".329","107"
"Phillies","673","9.5 %","20.5 %","0.46","3",".334",".443",".777",".182","3.7",".303","88","4.6",".328","101"
"Angels","941","9.7 %","16.2 %","0.60","5",".328",".424",".752",".179","2.9",".260","119","2.2",".320","104"
"Padres","492","9.3 %","27.0 %","0.35","5",".310",".441",".752",".211","4.0",".270","61","-0.1",".319","99"
"Rangers","786","9.2 %","26.8 %","0.34","15",".321",".422",".743",".178","6.1",".315","97","-0.2",".318","91"
"White Sox","561","7.5 %","23.5 %","0.32","8",".330",".405",".735",".141","3.6",".335","69","-0.2",".318","100"
"Rays","820","9.5 %","27.8 %","0.34","8",".331",".400",".731",".142","3.3",".342","100","-2.3",".315","99"
"Cardinals","514","9.9 %","21.2 %","0.47","8",".314",".415",".729",".183","3.7",".258","61","-2.8",".312","94"
"Red Sox","770","8.6 %","22.2 %","0.39","7",".312",".419",".731",".177","3.3",".278","90","-5.9",".309","88"
"Orioles","856","5.8 %","25.7 %","0.23","16",".307",".408",".716",".156","3.7",".312","97","-9.4",".305","89"
"Tigers","429","8.6 %","26.3 %","0.33","3",".313",".406",".719",".160","4.8",".317","48","-4.8",".305","90"
"Reds","610","7.9 %","20.7 %","0.38","9",".315",".397",".712",".146","4.2",".293","69","-6.9",".305","85"
"Indians","798","10.3 %","22.7 %","0.45","8",".310",".376",".687",".151","3.0",".269","84","-14.6",".297","80"
"Yankees","563","7.8 %","26.3 %","0.30","6",".302",".375",".676",".137","3.1",".306","57","-13.0",".292","80"
"Blue Jays","696","8.0 %","24.0 %","0.34","5",".293",".383",".676",".149","3.6",".284","69","-17.0",".289","80"
"Royals","730","8.1 %","25.5 %","0.32","29",".296",".363",".660",".135","5.7",".287","69","-21.4",".284","74"
"Pirates","656","4.7 %","25.5 %","0.19","4",".286",".378",".664",".129","3.4",".313","61","-20.5",".283","74"
"Giants","817","7.7 %","23.9 %","0.32","7",".290",".342",".632",".117","3.4",".281","70","-31.7",".273","69"
"Marlins","677","5.0 %","20.5 %","0.24","2",".282",".349",".631",".111","2.1",".281","56","-27.8",".271","69"
