Name,,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,playerid
Tyler Skaggs,L,Angels,8.89,4.44,2,0.68,22.20%,11.10%,11.10%,0.252,1.48,0.32,59.10%,128,83,104,5.47,3.7,1.77,4.67,4.81,10190
Brad Peacock,R,Astros,11.14,2.7,4.13,0.34,29.70%,7.20%,22.50%,0.2,1.05,0.288,74.30%,71,53,86,3.04,2.34,0.7,3.86,3.51,5401
Mike Fiers,,Athletics,5.91,2.53,2.33,1.13,17.40%,7.40%,9.90%,0.155,0.81,0.153,84.80%,59,101,118,2.53,4.43,-1.9,5.25,4.99,7754
Edwin Jackson,,Blue Jays,5.4,1.8,3,1.8,13.30%,4.40%,8.90%,0.31,1.5,0.324,53.00%,143,120,114,6.3,5.39,0.91,5.08,4.85,1841
Mike Soroka,R,Braves,7.41,2.38,3.11,0.26,21.40%,6.90%,14.50%,0.136,0.74,0.169,87.00%,18,72,93,0.79,2.97,-2.18,3.94,4.03,18383
Jhoulys Chacin,,Brewers,4.5,2.86,1.57,0.82,11.80%,7.50%,4.30%,0.229,1.18,0.243,84.00%,57,108,137,2.45,4.63,-2.18,5.8,5.74,2608
Freddy Peralta,,Brewers,9,3.38,2.67,2.25,18.20%,6.80%,11.40%,0.366,2.25,0.419,46.10%,183,127,115,7.88,5.46,2.41,4.84,4.7,18679
Dakota Hudson,R,Cardinals,5.65,3.14,1.8,0.31,14.30%,7.90%,6.40%,0.278,1.47,0.323,60.10%,83,83,102,3.45,3.44,0.02,4.32,4.58,19206
Yu Darvish,,Cubs,13.14,6.39,2.06,0.71,33.00%,16.10%,17.00%,0.194,1.42,0.296,73.10%,100,82,81,4.26,3.44,0.82,3.4,4.23,13074
Taylor Clarke,,Diamondbacks,3,0,2,1.5,8.70%,0.00%,8.70%,0.304,1.17,0.3,89.30%,69,109,95,3,4.59,-1.59,4.01,4.32,17611
Hyun-Jin Ryu,L,Dodgers,8.31,0.46,18,0.23,26.50%,1.50%,25.00%,0.164,0.62,0.216,92.90%,17,42,66,0.69,1.73,-1.04,2.77,3.1,14444
