"Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR"
"Reds","12","16","16","236","0","236.1","10.09","3.35","1.03",".293","76.7 %","45.0 %","13.9 %","3.58","3.59","3.70","3.3"
"Rays","18","15","17","226","0","308.2","8.83","3.38","0.87",".279","75.4 %","44.6 %","10.3 %","3.38","3.73","4.28","3.2"
"Yankees","17","9","23","216","0","256.0","10.02","3.66","1.23",".286","74.0 %","47.6 %","15.2 %","3.97","4.06","4.02","3.2"
"Indians","14","7","20","223","0","214.1","9.28","2.90","1.09",".288","79.3 %","40.9 %","11.7 %","3.28","3.79","4.22","2.9"
"Athletics","9","15","15","241","0","264.2","8.74","3.84","1.05",".298","71.6 %","35.1 %","9.5 %","4.49","4.16","5.02","2.6"
"Astros","17","5","21","196","0","227.1","9.90","3.29","1.19",".258","78.5 %","43.7 %","14.3 %","3.40","3.85","3.92","2.6"
"Red Sox","18","8","15","237","0","269.1","10.49","3.84","1.17",".292","74.3 %","43.4 %","13.4 %","4.04","3.97","4.17","2.6"
"Brewers","15","13","20","233","0","284.1","10.07","3.86","1.27",".282","71.5 %","47.0 %","17.1 %","4.37","4.12","3.88","2.3"
"Giants","15","7","18","222","0","256.2","9.08","3.30","1.02",".282","75.0 %","44.8 %","12.2 %","3.75","3.93","4.25","2.0"
"Twins","11","8","20","206","0","209.2","9.74","3.91","1.24",".322","70.4 %","40.7 %","14.1 %","4.81","4.26","4.37","1.8"
"Rockies","14","6","12","246","0","244.2","8.31","3.64","1.18",".292","72.8 %","45.1 %","13.3 %","4.38","4.33","4.54","1.7"
"Angels","22","12","18","239","0","319.2","9.66","3.94","1.55",".298","76.3 %","37.9 %","14.8 %","4.65","4.73","4.75","1.3"
"Cardinals","13","10","20","227","0","235.0","10.30","3.79","1.30",".254","72.9 %","41.1 %","16.0 %","4.10","4.15","4.02","1.3"
"Diamondbacks","11","12","16","220","0","253.2","8.66","3.51","1.24",".305","76.0 %","45.7 %","15.4 %","4.19","4.40","4.34","1.3"
"Dodgers","12","13","23","210","0","208.0","8.74","3.16","1.25",".266","67.7 %","45.0 %","14.0 %","4.37","4.34","4.45","1.1"
"Royals","6","16","9","207","0","234.1","8.87","4.15","1.15",".321","72.6 %","43.5 %","12.9 %","4.92","4.43","4.68","0.9"
"White Sox","11","9","16","217","0","224.1","8.47","4.25","1.20",".274","72.4 %","44.1 %","12.8 %","4.21","4.57","4.85","0.9"
"Rangers","18","13","16","215","0","280.1","8.12","3.79","1.41",".303","71.8 %","42.6 %","15.3 %","4.72","4.78","4.73","0.9"
"Cubs","14","10","15","225","0","222.1","9.11","4.74","1.13",".298","75.0 %","48.6 %","16.7 %","4.21","4.43","4.25","0.8"
"Padres","15","8","26","232","0","255.0","10.02","2.79","1.55",".300","71.3 %","44.6 %","18.2 %","4.66","4.24","3.84","0.7"
"Blue Jays","14","11","14","228","0","276.1","9.51","3.94","1.56",".280","77.7 %","42.3 %","16.3 %","4.27","4.76","4.56","0.5"
"Nationals","10","14","15","227","0","204.0","9.44","3.97","1.46",".327","63.8 %","38.5 %","13.6 %","6.22","4.77","4.97","0.3"
"Mets","13","13","16","203","0","225.1","9.27","4.23","1.36",".318","68.9 %","38.9 %","13.0 %","5.31","4.68","4.96","0.2"
"Phillies","10","11","20","224","0","229.1","9.30","3.89","1.57",".310","75.9 %","42.6 %","16.5 %","4.40","4.80","4.57","0.2"
"Braves","19","9","20","252","0","259.1","9.47","4.37","1.42",".296","74.3 %","42.8 %","15.1 %","4.20","4.69","4.66","-0.2"
"Orioles","6","15","14","210","0","274.1","8.66","4.26","1.84",".304","68.3 %","43.8 %","19.2 %","6.04","5.55","4.95","-0.6"
"Mariners","10","14","15","238","0","276.1","9.05","4.92","1.53",".300","67.3 %","42.9 %","17.0 %","5.44","5.14","4.86","-0.7"
"Pirates","13","13","17","222","0","267.0","9.64","4.42","1.62",".311","70.7 %","41.3 %","16.7 %","5.36","5.02","4.76","-0.8"
"Tigers","13","11","20","235","0","245.0","7.75","4.15","1.84",".288","71.4 %","44.0 %","18.1 %","5.11","5.62","5.14","-1.0"
"Marlins","6","13","13","207","0","221.1","9.64","4.76","1.42",".306","71.8 %","38.5 %","14.3 %","5.25","4.86","4.95","-1.1"
