"Name","Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+","playerid"
"Aaron Wilkerson","Brewers","1","0.0 %","0.0 %","0.00","0","1.000","4.000","5.000","3.000","0.1",".000","2","1.4","1.980","1204","16904"
"Anthony Santander","Orioles","3","33.3 %","33.3 %","1.00","0",".667","2.000","2.667","1.500","2.6",".000","2","1.4",".890","482","14551"
"Victor Reyes","Tigers","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.5",".874","471","15487"
"Ryan Helsley","Cardinals","1","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.5",".874","470","18138"
"Gregory Soto","Tigers","2","0.0 %","0.0 %","0.00","0","1.000","1.000","2.000",".000","0.1","1.000","1","0.9",".874","471","19677"
"Jacob Nottingham","Brewers","4","0.0 %","25.0 %","0.00","0",".500","1.250","1.750",".750","0.1",".500","2","1.3",".713","360","16448"
"Shaun Anderson","Giants","4","0.0 %","25.0 %","0.00","0",".667","1.000","1.667",".333","0.1","1.000","2","1.3",".701","356","19453"
"Francisco Liriano","Pirates","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".690","347","3201"
"Dustin Garneau","Angels","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","2.6",".000","0","0.3",".690","351","9433"
"Robert Gsellman","Mets","1","100.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","0.1",".000","0","0.3",".690","351","13696"
"John Means","Orioles","2","50.0 %","0.0 %","1.00","0","1.000",".000","1.000",".000","0.1",".000","1","0.6",".690","347","16269"
"Tyler Chatwood","Cubs","5","0.0 %","20.0 %","0.00","0",".500","1.000","1.500",".500","2.6",".667","2","1.3",".615","295","4338"
"Skye Bolt","Athletics","2","0.0 %","50.0 %","0.00","0",".500","1.000","1.500",".500","0.1","1.000","1","0.5",".615","300","17723"
"Brett Anderson","Athletics","3","0.0 %","0.0 %","0.00","0",".667",".667","1.333",".000","0.1",".667","1","0.7",".582","278","8223"
"Trent Thornton","Blue Jays","3","0.0 %","0.0 %","0.00","0",".667",".667","1.333",".000","2.6",".667","1","0.7",".582","276","17948"
"Giancarlo Stanton","Yankees","12","58.3 %","8.3 %","7.00","0",".750",".400","1.150",".000","0.2",".500","4","2.3",".548","251","4949"
"Miguel Sano","Twins","23","13.0 %","21.7 %","0.60","0",".391","1.053","1.444",".737","2.6",".182","7","4.3",".541","246","12164"
"Willie Calhoun","Rangers","21","0.0 %","0.0 %","0.00","0",".476",".810","1.286",".333","1.9",".421","6","3.9",".538","239","17838"
"Lane Thomas","Cardinals","10","10.0 %","10.0 %","1.00","1",".500",".778","1.278",".333","4.3",".429","3","1.8",".529","240","16939"
"Cody Bellinger","Dodgers","132","14.4 %","13.6 %","1.06","5",".500",".827","1.327",".409","5.7",".415","40","23.5",".529","242","15998"
"Julio Urias","Dodgers","7","14.3 %","0.0 %","1.00","0",".667",".500","1.167",".000","0.1",".500","2","1.2",".521","237","14765"
"Tim Locastro","Diamondbacks","15","13.3 %","13.3 %","1.00","2",".667",".444","1.111",".000","7.1",".571","4","2.5",".517","228","15124"
"Christian Yelich","Brewers","132","15.9 %","19.7 %","0.81","7",".470",".844","1.314",".477","4.6",".353","38","22.1",".516","228","11477"
"Luis Arraez","Twins","16","12.5 %","0.0 %","2.00","0",".500",".769","1.269",".308","1.3",".385","4","2.5",".505","222","18568"
"Josh Bell","Pirates","149","11.4 %","19.5 %","0.59","0",".436",".786","1.223",".420","3.7",".396","40","21.5",".489","213","13145"
"Alex Avila","Diamondbacks","31","32.3 %","25.8 %","1.25","0",".516",".667","1.183",".381","0.9",".364","8","4.2",".479","203","7476"
"Pablo Sandoval","Giants","71","2.8 %","25.4 %","0.11","1",".366",".768","1.134",".420","3.8",".386","17","8.8",".464","198","5409"
"Scott Kingery","Phillies","39","5.1 %","23.1 %","0.22","2",".462",".629","1.090",".229","5.1",".520","9","4.7",".460","192","17975"
"Mitch Garver","Twins","66","10.6 %","24.2 %","0.44","0",".379",".759","1.137",".466","1.5",".265","16","7.9",".459","191","15161"
"Victor Caratini","Cubs","28","21.4 %","21.4 %","1.00","0",".500",".571","1.071",".238","1.1",".429","7","3.3",".457","190","14968"
"Charlie Culberson","Braves","25","0.0 %","36.0 %","0.00","0",".400",".708","1.108",".292","1.5",".571","6","2.8",".452","185","3298"
"Austin Meadows","Rays","100","12.0 %","21.0 %","0.57","3",".420",".686","1.106",".360","3.4",".351","23","11.2",".450","190","15672"
"Hunter Dozier","Royals","141","12.1 %","19.1 %","0.63","1",".418",".681","1.099",".345","5.1",".360","33","15.4",".446","183","15117"
"Mike Trout","Angels","141","22.0 %","14.2 %","1.55","5",".489",".602","1.091",".282","4.5",".333","33","15.4",".446","188","10155"
"Daniel Vogelbach","Mariners","143","19.6 %","21.7 %","0.90","0",".420",".658","1.077",".377","1.2",".278","32","14.9",".441","185","14130"
"Jorge Polanco","Twins","169","12.4 %","14.2 %","0.88","1",".420",".646","1.066",".306","4.9",".362","38","17.5",".440","178","13152"
"Willson Contreras","Cubs","137","11.7 %","22.6 %","0.52","1",".438",".619","1.057",".283","1.9",".395","31","13.9",".438","177","11609"
"Joey Gallo","Rangers","139","20.9 %","33.1 %","0.63","3",".424",".655","1.079",".382","6.6",".358","31","14.1",".437","171","14128"
"David Price","Red Sox","2","0.0 %","50.0 %","0.00","0",".500",".500","1.000",".000","0.1","1.000","0","0.2",".437","173","3184"
"Chris Flexen","Mets","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","0.1",".500","0","0.2",".437","182","13896"
"Kyle McGowin","Nationals","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","2.6",".500","0","0.2",".437","175","15071"
"Dennis Santana","Dodgers","2","0.0 %","0.0 %","0.00","0",".500",".500","1.000",".000","0.1",".500","0","0.2",".437","181","17878"
"Anthony Rendon","Nationals","121","10.7 %","16.5 %","0.65","0",".405",".654","1.059",".337","2.2",".333","27","11.8",".433","172","12861"
"Mookie Betts","Red Sox","173","17.9 %","15.0 %","1.19","5",".451",".580","1.031",".254","4.6",".349","38","16.9",".433","171","13611"
"Anthony Rizzo","Cubs","158","11.4 %","13.9 %","0.82","1",".405",".642","1.047",".343","4.0",".280","35","15.3",".432","173","3473"
"Hunter Pence","Rangers","88","10.2 %","17.0 %","0.60","0",".386",".675","1.062",".351","1.6",".316","19","8.4",".431","167","8252"
"Joc Pederson","Dodgers","138","13.0 %","17.4 %","0.75","0",".377",".681","1.058",".434","4.8",".184","30","12.9",".428","175","11899"
"Gary Sanchez","Yankees","119","8.4 %","21.8 %","0.38","0",".361",".692","1.053",".402","2.4",".265","26","11.1",".428","171","11442"
"Charlie Blackmon","Rockies","126","7.1 %","19.0 %","0.38","2",".397",".626","1.023",".287","6.8",".388","27","11.5",".425","154","7859"
"George Springer","Astros","159","10.7 %","20.1 %","0.53","3",".390",".645","1.035",".326","6.2",".330","34","14.2",".423","173","12856"
"Shin-Soo Choo","Rangers","162","11.7 %","22.2 %","0.53","2",".414",".600","1.014",".279","5.8",".385","34","14.4",".422","161","3174"
