"Team","PA","BB%","K%","BB/K","SB","OBP","SLG","OPS","ISO","Spd","BABIP","wRC","wRAA","wOBA","wRC+"
"Twins","1962","8.1 %","20.0 %","0.41","16",".333",".513",".846",".248","4.3",".285","301","57.9",".353","120"
"Dodgers","1793","9.9 %","19.1 %","0.52","17",".350",".481",".831",".212","4.4",".296","268","45.4",".348","119"
"Red Sox","2027","10.6 %","20.8 %","0.51","32",".349",".460",".809",".193","4.7",".309","294","42.7",".343","111"
"Yankees","2034","10.0 %","21.9 %","0.46","23",".340",".467",".807",".205","4.4",".296","292","39.7",".341","113"
"Rangers","1914","9.8 %","24.6 %","0.40","42",".342",".456",".798",".195","5.3",".319","270","32.2",".338","105"
"Rays","1872","8.7 %","22.6 %","0.38","34",".340",".456",".796",".190","5.2",".317","264","31.5",".338","115"
"Astros","2009","9.3 %","17.8 %","0.52","31",".336",".465",".801",".201","4.3",".281","283","33.2",".337","116"
"Cubs","2131","10.4 %","22.7 %","0.46","15",".343",".455",".798",".198","3.4",".301","299","34.5",".337","108"
"Braves","2103","9.5 %","21.8 %","0.44","21",".339",".452",".791",".189","4.3",".307","290","29.0",".335","105"
"Angels","1764","9.6 %","17.1 %","0.56","23",".341",".439",".780",".176","4.3",".287","239","20.1",".331","111"
"Brewers","1991","9.9 %","25.4 %","0.39","30",".332",".449",".781",".197","4.1",".303","268","20.7",".330","102"
"Rockies","1818","7.9 %","22.9 %","0.34","16",".327",".455",".782",".190","5.2",".316","241","15.6",".329","87"
"Mariners","2099","9.3 %","24.5 %","0.38","38",".320",".456",".776",".212","4.5",".282","278","17.9",".328","110"
"Pirates","2013","7.7 %","20.0 %","0.38","24",".328",".426",".753",".161","5.0",".312","250","0.3",".319","98"
"Cardinals","2065","9.1 %","22.5 %","0.41","35",".327",".407",".734",".158","4.4",".299","248","-8.1",".315","95"
"Phillies","1973","9.7 %","22.8 %","0.42","18",".319",".413",".732",".174","4.1",".285","232","-13.1",".311","91"
"Royals","1845","7.7 %","22.9 %","0.34","39",".311",".417",".728",".169","6.0",".301","215","-13.7",".310","91"
"Mets","2013","8.7 %","23.3 %","0.38","18",".317",".406",".723",".165","3.7",".290","233","-16.6",".309","95"
"Diamondbacks","1942","8.2 %","22.9 %","0.36","34",".308",".420",".727",".182","5.3",".279","223","-17.7",".308","87"
"Nationals","1923","8.5 %","23.7 %","0.36","23",".311",".405",".716",".167","4.2",".284","217","-21.2",".306","85"
"Athletics","2060","8.8 %","21.2 %","0.42","20",".309",".404",".713",".171","3.8",".266","234","-21.9",".306","93"
"White Sox","1935","6.9 %","25.5 %","0.27","31",".309",".405",".714",".155","4.0",".309","218","-21.8",".305","91"
"Indians","1731","9.9 %","23.2 %","0.43","34",".312",".397",".709",".166","4.5",".272","193","-21.7",".303","85"
"Padres","2067","7.0 %","26.7 %","0.26","26",".295",".413",".708",".176","4.1",".290","224","-32.7",".300","86"
"Reds","1892","8.3 %","24.5 %","0.34","20",".298",".403",".701",".178","3.5",".265","201","-34.1",".297","80"
"Orioles","1734","7.3 %","22.8 %","0.32","18",".295",".399",".694",".166","4.4",".275","184","-31.6",".297","84"
"Giants","1665","8.1 %","23.5 %","0.35","16",".290",".380",".671",".157","3.8",".268","162","-44.2",".287","78"
"Blue Jays","1845","8.0 %","25.0 %","0.32","13",".286",".380",".666",".163","3.3",".259","178","-51.2",".285","77"
"Tigers","2068","7.3 %","26.1 %","0.28","27",".289",".376",".665",".148","4.7",".290","197","-59.8",".284","75"
"Marlins","1815","7.4 %","24.9 %","0.30","20",".300",".347",".648",".112","3.2",".301","168","-57.6",".282","76"
