"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Peter Lambert","Rockies","11.57","1.29","9.00","0.00","34.6 %","3.9 %","30.8 %",".160","0.71",".250","80.0 %","1.29","1.01","0.27","2.12","17969"
"Archie Bradley","Diamondbacks","12.57","4.66","2.70","0.00","30.7 %","11.4 %","19.3 %",".234","1.45",".360","72.4 %","2.79","2.07","0.72","3.47","12918"
"Jalen Beeks","Rays","7.56","2.88","2.63","0.00","20.8 %","7.9 %","12.9 %",".213","1.08",".271","86.2 %","1.44","2.68","-1.24","4.46","17192"
"Hyun-Jin Ryu","Dodgers","6.97","0.65","10.67","0.87","19.9 %","1.9 %","18.0 %",".239","0.97",".273","93.2 %","1.74","3.16","-1.42","3.44","14444"
"Sonny Gray","Reds","9.62","4.28","2.25","0.53","26.7 %","11.9 %","14.8 %",".198","1.16",".259","71.8 %","3.21","3.22","-0.01","3.65","12768"
"Trevor Bauer","Indians","10.24","3.54","2.89","0.74","27.5 %","9.5 %","18.0 %",".200","1.12",".261","73.9 %","2.42","3.32","-0.90","4.01","12703"
"Trent Thornton","Blue Jays","8.15","4.42","1.84","0.47","21.6 %","11.7 %","9.9 %",".211","1.27",".267","74.2 %","3.49","3.57","-0.08","4.90","17948"
"Brad Peacock","Astros","7.63","3.82","2.00","0.88","20.5 %","10.2 %","10.2 %",".207","1.17",".238","67.1 %","4.11","4.10","0.01","5.04","5401"
"Spencer Turnbull","Tigers","7.30","3.54","2.06","0.66","19.4 %","9.4 %","10.0 %",".204","1.13",".243","84.0 %","2.43","4.19","-1.76","4.90","16207"
"Martin Perez","Twins","7.61","5.15","1.48","0.74","18.7 %","12.7 %","6.0 %",".259","1.58",".306","65.1 %","4.66","4.25","0.42","4.77","6902"
"Ariel Jurado","Rangers","5.91","2.11","2.80","1.27","16.1 %","5.8 %","10.3 %",".244","1.17",".262","67.3 %","2.95","4.38","-1.42","4.45","17030"
"Zack Godley","Diamondbacks","5.46","4.18","1.31","0.64","13.4 %","10.2 %","3.2 %",".264","1.50",".290","65.5 %","5.14","4.48","0.66","5.83","14862"
"Jason Vargas","Mets","6.49","4.10","1.58","1.03","16.1 %","10.2 %","5.9 %",".279","1.56",".310","73.4 %","4.78","4.56","0.22","5.51","8044"
"Dakota Hudson","Cardinals","8.29","4.01","2.07","1.34","21.1 %","10.2 %","10.9 %",".244","1.40",".284","78.1 %","3.74","4.67","-0.93","3.78","19206"
"James Paxton","Yankees","11.90","4.58","2.60","1.83","28.6 %","11.0 %","17.6 %",".313","1.78",".412","64.6 %","6.86","4.68","2.18","4.60","11828"
"Tanner Anderson","Athletics","7.94","3.18","2.50","1.59","22.7 %","9.1 %","13.6 %",".150","0.88",".143","83.3 %","3.18","4.75","-1.57","4.84","18029"
"Cole Irvin","Phillies","9.39","2.93","3.20","1.76","24.2 %","7.6 %","16.7 %",".267","1.37",".317","67.4 %","5.87","4.79","1.08","4.14","19244"
"Ryne Stanek","Rays","10.34","4.60","2.25","1.72","26.5 %","11.8 %","14.7 %",".217","1.34",".256","65.5 %","5.17","4.88","0.29","4.61","15947"
"Anibal Sanchez","Nationals","8.51","4.62","1.84","1.46","21.1 %","11.5 %","9.6 %",".233","1.43",".264","78.5 %","3.89","4.91","-1.02","5.32","3284"
"Jose Quintana","Cubs","8.91","3.24","2.75","1.89","22.3 %","8.1 %","14.2 %",".289","1.53",".333","70.4 %","5.13","4.99","0.14","4.29","11423"
"John Means","Orioles","6.89","2.87","2.40","1.44","17.9 %","7.5 %","10.5 %",".261","1.31",".286","84.2 %","3.73","5.04","-1.31","5.50","16269"
"Griffin Canning","Angels","10.13","2.81","3.60","2.25","27.7 %","7.7 %","20.0 %",".200","1.06",".211","87.7 %","3.94","5.10","-1.16","4.63","19867"
"Nick Margevicius","Padres","6.23","2.08","3.00","2.08","16.9 %","5.6 %","11.2 %",".217","1.06",".203","81.3 %","3.32","5.47","-2.14","4.61","20395"
"Jeff Samardzija","Giants","6.81","2.78","2.45","2.02","18.2 %","7.4 %","10.8 %",".250","1.26",".255","74.0 %","4.79","5.48","-0.69","5.33","3254"
"Mike Foltynewicz","Braves","7.00","2.50","2.80","2.00","18.9 %","6.8 %","12.2 %",".242","1.17",".240","79.3 %","4.00","5.49","-1.49","4.97","10811"
"Chase Anderson","Brewers","7.79","5.19","1.50","1.56","18.3 %","12.2 %","6.1 %",".271","1.67",".302","85.3 %","3.63","5.58","-1.95","5.79","6895"
"Sandy Alcantara","Marlins","4.26","5.68","0.75","1.14","10.7 %","14.3 %","-3.6 %",".265","1.61",".273","76.0 %","4.26","5.94","-1.67","6.31","18684"
"Jakob Junis","Royals","8.31","3.38","2.46","2.34","21.3 %","8.7 %","12.7 %",".265","1.38",".280","78.1 %","4.93","6.07","-1.14","4.37","13619"
"Mike Leake","Mariners","6.24","1.84","3.40","2.94","16.4 %","4.8 %","11.5 %",".272","1.29",".255","84.9 %","5.33","6.81","-1.48","5.01","10130"
"Chris Archer","Pirates","10.89","4.79","2.27","3.48","27.2 %","12.0 %","15.2 %",".278","1.60",".292","55.1 %","8.71","7.37","1.34","4.58","6345"
"Brian Johnson","Red Sox","11.12","4.76","2.33","4.76","23.3 %","10.0 %","13.3 %",".370","2.29",".412","56.8 %","12.71","9.16","3.55","6.03","14272"
