"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Ryne Stanek","Rays","9.64","2.31","4.17","0.00","28.4 %","6.8 %","21.6 %",".183","0.90",".263","90.5 %","0.77","1.79","-1.01","4.19","15947"
"James Paxton","Yankees","11.66","3.07","3.80","0.31","32.8 %","8.6 %","24.1 %",".173","0.95",".258","72.5 %","2.15","2.13","0.01","3.54","11828"
"Hyun-Jin Ryu","Dodgers","9.07","0.40","22.50","0.60","28.3 %","1.3 %","27.0 %",".172","0.65",".220","96.8 %","1.01","2.15","-1.14","2.45","14444"
"Jose Quintana","Cubs","7.15","2.38","3.00","0.20","19.6 %","6.5 %","13.0 %",".238","1.15",".289","71.2 %","2.98","2.65","0.33","4.03","11423"
"Sonny Gray","Reds","9.55","2.73","3.50","0.55","24.8 %","7.1 %","17.7 %",".252","1.27",".323","67.2 %","4.09","2.82","1.27","3.44","12768"
"Jalen Beeks","Rays","8.36","2.89","2.89","0.32","21.3 %","7.4 %","13.9 %",".266","1.36",".337","73.2 %","3.54","3.05","0.49","4.38","17192"
"Brad Peacock","Astros","10.04","1.79","5.63","0.89","27.4 %","4.9 %","22.6 %",".217","1.02",".282","81.2 %","2.90","3.11","-0.21","3.83","5401"
"Spencer Turnbull","Tigers","9.73","3.16","3.08","0.73","24.2 %","7.9 %","16.4 %",".264","1.41",".333","67.6 %","3.16","3.18","-0.02","4.01","16207"
"Sandy Alcantara","Marlins","7.51","3.25","2.31","0.41","20.6 %","8.9 %","11.7 %",".233","1.20",".282","64.5 %","3.25","3.23","0.02","4.17","18684"
"John Means","Orioles","8.65","2.36","3.67","0.79","24.6 %","6.7 %","17.9 %",".180","0.90",".216","79.1 %","1.57","3.24","-1.67","4.47","16269"
"Martin Perez","Twins","9.62","3.21","3.00","0.80","25.4 %","8.5 %","16.9 %",".250","1.31",".322","80.9 %","3.21","3.34","-0.13","4.19","6902"
"Griffin Canning","Angels","9.21","1.59","5.80","0.95","25.0 %","4.3 %","20.7 %",".208","0.95",".253","74.6 %","3.49","3.44","0.05","4.38","19867"
"Mike Leake","Mariners","6.35","1.36","4.67","0.91","17.1 %","3.7 %","13.4 %",".261","1.18",".294","67.6 %","2.95","3.51","-0.56","4.39","10130"
"Anibal Sanchez","Nationals","8.34","3.57","2.33","0.79","21.7 %","9.3 %","12.4 %",".239","1.32",".292","73.5 %","3.97","3.64","0.33","4.54","3284"
"Ariel Jurado","Rangers","8.85","3.10","2.86","0.89","22.2 %","7.8 %","14.4 %",".263","1.38",".317","72.5 %","3.10","3.65","-0.55","4.08","17030"
"Jeff Samardzija","Giants","8.16","2.81","2.90","0.84","21.0 %","7.3 %","13.8 %",".216","1.16",".255","69.0 %","2.53","3.69","-1.16","4.77","3254"
"Jason Vargas","Mets","7.56","3.24","2.33","0.72","20.4 %","8.7 %","11.7 %",".220","1.16",".257","84.6 %","2.52","3.72","-1.20","4.69","8044"
"Chase Anderson","Brewers","11.01","1.78","6.20","1.78","30.4 %","4.9 %","25.5 %",".229","1.07",".279","80.0 %","3.91","3.87","0.04","3.29","6895"
"Jakob Junis","Royals","7.92","3.05","2.60","1.02","19.8 %","7.6 %","12.2 %",".276","1.47",".326","60.3 %","5.68","3.88","1.80","4.73","13619"
"Archie Bradley","Diamondbacks","9.49","5.11","1.86","1.46","21.3 %","11.5 %","9.8 %",".353","2.03",".410","72.1 %","6.57","4.86","1.71","4.32","12918"
"Dakota Hudson","Cardinals","4.62","4.15","1.11","0.92","11.4 %","10.3 %","1.1 %",".288","1.59",".303","74.9 %","3.23","4.93","-1.70","4.83","19206"
"Cole Irvin","Phillies","3.00","1.50","2.00","1.50","8.0 %","4.0 %","4.0 %",".208","1.00",".190","43.5 %","4.50","5.16","-0.66","6.54","19244"
"Trevor Bauer","Indians","9.53","4.59","2.08","1.59","24.6 %","11.8 %","12.7 %",".201","1.24",".228","68.5 %","4.94","5.33","-0.39","5.05","12703"
"Chris Archer","Pirates","8.31","4.38","1.89","1.85","20.8 %","11.0 %","9.8 %",".242","1.41",".257","82.6 %","4.15","5.52","-1.36","4.93","6345"
"Zack Godley","Diamondbacks","8.78","4.05","2.17","2.03","22.2 %","10.3 %","12.0 %",".277","1.50",".306","61.4 %","7.09","5.60","1.49","4.41","14862"
"Odrisamer Despaigne","White Sox","3.00","3.00","1.00","1.50","7.7 %","7.7 %","0.0 %",".304","1.50",".286","79.0 %","4.50","5.66","-1.16","7.68","16017"
"Nick Margevicius","Padres","6.53","3.26","2.00","1.78","15.8 %","7.9 %","7.9 %",".309","1.62",".330","68.8 %","6.23","5.66","0.57","5.13","20395"
"Trent Thornton","Blue Jays","11.03","4.35","2.53","2.61","27.0 %","10.6 %","16.3 %",".272","1.58",".316","74.2 %","6.39","5.93","0.46","4.22","17948"
"Mike Foltynewicz","Braves","8.04","2.30","3.50","3.16","20.1 %","5.8 %","14.4 %",".283","1.40",".275","54.1 %","7.18","6.80","0.38","5.01","10811"
"Peter Lambert","Rockies","5.40","3.60","1.50","1.80","14.3 %","9.5 %","4.8 %",".176","1.00",".154","100.0 %","1.80","6.96","-5.16","6.29","17969"
