"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"James Paxton","Yankees","13.94","1.74","8.00","0.00","34.0 %","4.3 %","29.8 %",".295","1.45",".464","81.3 %","2.61","0.93","1.68","2.80","11828"
"Archie Bradley","Diamondbacks","15.34","4.91","3.13","0.00","37.9 %","12.1 %","25.8 %",".228","1.43",".394","42.9 %","6.75","1.38","5.37","2.84","12918"
"Jose Quintana","Cubs","7.97","1.33","6.00","0.00","22.5 %","3.8 %","18.8 %",".250","1.08",".322","54.6 %","3.54","1.83","1.71","3.07","11423"
"Sonny Gray","Reds","10.69","2.53","4.22","0.28","31.7 %","7.5 %","24.2 %",".174","0.88",".250","71.4 %","2.25","2.03","0.22","2.59","12768"
"Martin Perez","Twins","8.59","2.45","3.50","0.00","21.5 %","6.2 %","15.4 %",".283","1.43",".370","54.6 %","6.14","2.27","3.87","3.85","6902"
"Hyun-Jin Ryu","Dodgers","8.34","0.00","21.00","1.19","25.3 %","0.0 %","25.3 %",".183","0.66",".203","92.6 %","1.99","3.03","-1.04","2.76","14444"
"Ariel Jurado","Rangers","5.40","2.91","1.86","0.00","14.9 %","8.1 %","6.9 %",".190","1.02",".227","65.2 %","2.91","3.07","-0.16","5.03","17030"
"Odrisamer Despaigne","White Sox","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".444","2.40",".444","75.0 %","5.40","3.16","2.24","7.80","16017"
"John Means","Orioles","11.49","2.87","4.00","1.15","32.3 %","8.1 %","24.2 %",".179","0.96",".229","90.2 %","2.30","3.22","-0.92","3.66","16269"
"Jalen Beeks","Rays","7.50","3.75","2.00","0.00","18.5 %","9.3 %","9.3 %",".261","1.42",".324","73.7 %","3.75","3.24","0.51","4.85","17192"
"Chase Anderson","Brewers","8.25","1.88","4.40","1.13","24.7 %","5.6 %","19.1 %",".171","0.79",".186","81.1 %","2.25","3.57","-1.32","4.21","6895"
"Jason Vargas","Mets","6.75","3.38","2.00","0.68","18.2 %","9.1 %","9.1 %",".260","1.35",".308","66.3 %","4.73","3.76","0.97","4.81","8044"
"Peter Lambert","Rockies","15.75","4.50","3.50","2.25","41.2 %","11.8 %","29.4 %",".200","1.25",".286","100.0 %","2.25","4.41","-2.16","1.64","17969"
"Griffin Canning","Angels","10.07","3.22","3.13","1.61","28.4 %","9.1 %","19.3 %",".152","0.90",".160","97.4 %","2.42","4.46","-2.04","4.29","19867"
"Brian Johnson","Red Sox","9.82","0.00","4.00","2.45","30.8 %","0.0 %","30.8 %",".154","0.55",".125","100.0 %","2.45","4.52","-2.07","4.14","14272"
"Ryne Stanek","Rays","9.35","3.63","2.57","1.56","25.4 %","9.9 %","15.5 %",".188","1.10",".209","100.0 %","2.08","4.54","-2.47","5.19","15947"
"Cole Irvin","Phillies","9.00","4.50","2.00","1.50","21.4 %","10.7 %","10.7 %",".320","1.83",".389","72.9 %","6.00","4.82","1.18","5.24","19244"
"Spencer Turnbull","Tigers","6.49","3.38","1.92","1.04","15.9 %","8.3 %","7.6 %",".270","1.44",".303","81.4 %","2.86","4.86","-2.00","5.42","16207"
"Trent Thornton","Blue Jays","9.91","4.21","2.35","1.73","25.5 %","10.8 %","14.7 %",".261","1.46",".315","72.4 %","5.45","4.95","0.50","3.99","17948"
"Mike Leake","Mariners","7.66","2.37","3.23","1.82","20.0 %","6.2 %","13.8 %",".267","1.32",".294","86.8 %","3.28","5.00","-1.72","4.05","10130"
"Brad Peacock","Astros","8.02","3.48","2.31","1.60","20.3 %","8.8 %","11.5 %",".265","1.43",".299","79.3 %","4.54","5.03","-0.48","5.35","5401"
"Jakob Junis","Royals","8.83","3.12","2.83","1.82","21.0 %","7.4 %","13.6 %",".306","1.64",".355","65.0 %","6.49","5.03","1.46","4.36","13619"
"Jeff Samardzija","Giants","8.29","4.01","2.07","1.60","21.5 %","10.4 %","11.1 %",".203","1.22",".220","74.4 %","3.74","5.06","-1.32","5.50","3254"
"Sandy Alcantara","Marlins","4.73","4.73","1.00","0.99","12.6 %","12.6 %","0.0 %",".239","1.38",".248","67.9 %","3.94","5.11","-1.16","5.50","18684"
"Zack Godley","Diamondbacks","7.86","4.10","1.92","1.71","18.6 %","9.7 %","8.9 %",".315","1.78",".357","67.5 %","6.84","5.25","1.59","4.91","14862"
"Trevor Bauer","Indians","8.93","5.01","1.78","1.74","21.5 %","12.0 %","9.4 %",".241","1.48",".268","79.2 %","3.92","5.87","-1.95","5.50","12703"
"Mike Foltynewicz","Braves","7.61","1.90","4.00","2.66","19.8 %","5.0 %","14.9 %",".255","1.23",".250","64.4 %","6.08","6.07","0.01","5.17","10811"
"Nick Margevicius","Padres","3.94","1.13","3.50","2.25","9.9 %","2.8 %","7.0 %",".328","1.50",".321","63.7 %","7.31","6.28","1.03","5.93","20395"
"Anibal Sanchez","Nationals","8.76","5.11","1.71","2.55","20.9 %","12.2 %","8.7 %",".267","1.66",".286","73.7 %","5.84","6.60","-0.77","4.95","3284"
"Dakota Hudson","Cardinals","7.44","5.79","1.29","2.20","16.9 %","13.1 %","3.8 %",".321","1.99",".346","79.9 %","4.68","6.62","-1.93","5.15","19206"
"Chris Archer","Pirates","9.20","4.30","2.14","3.07","23.4 %","10.9 %","12.5 %",".237","1.40",".230","63.0 %","7.06","6.98","0.08","5.18","6345"
"Tanner Anderson","Athletics","4.50","4.50","1.00","4.50","10.0 %","10.0 %","0.0 %",".333","2.00",".286","76.9 %","9.00","10.16","-1.16","7.53","18029"
