"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Tanner Anderson","Athletics","9.82","2.45","4.00","0.00","33.3 %","8.3 %","25.0 %",".000","0.27",".000","100.0 %","0.00","1.79","-1.79","3.38","18029"
"Ryne Stanek","Rays","10.38","2.91","3.57","0.00","29.4 %","8.2 %","21.2 %",".205","1.06",".302","65.2 %","2.91","1.82","1.09","3.69","15947"
"Brad Peacock","Astros","9.88","1.93","5.13","0.24","28.7 %","5.6 %","23.1 %",".160","0.78",".222","68.6 %","2.41","2.19","0.22","3.45","5401"
"Hyun-Jin Ryu","Dodgers","7.96","0.71","11.20","0.57","23.6 %","2.1 %","21.5 %",".213","0.85",".263","95.1 %","1.14","2.49","-1.36","2.99","14444"
"Jalen Beeks","Rays","8.12","2.63","3.08","0.22","21.9 %","7.1 %","14.8 %",".237","1.17",".302","80.7 %","2.20","2.77","-0.57","4.29","17192"
"Spencer Turnbull","Tigers","10.05","3.35","3.00","0.42","27.0 %","9.0 %","18.0 %",".203","1.12",".273","69.9 %","2.72","2.79","-0.06","3.71","16207"
"Anibal Sanchez","Nationals","8.23","3.60","2.29","0.26","21.6 %","9.5 %","12.2 %",".211","1.20",".267","78.8 %","2.57","2.90","-0.33","5.07","3284"
"Peter Lambert","Rockies","5.63","1.13","5.00","0.00","16.7 %","3.3 %","13.3 %",".148","0.63",".182","85.7 %","1.13","3.03","-1.91","4.97","17969"
"Sandy Alcantara","Marlins","8.31","3.56","2.33","0.30","21.5 %","9.2 %","12.3 %",".257","1.35",".326","72.8 %","3.26","3.22","0.04","4.39","18684"
"Trevor Bauer","Indians","10.55","3.41","3.09","0.78","29.7 %","9.6 %","20.1 %",".169","0.97",".223","62.3 %","3.57","3.28","0.29","3.86","12703"
"Dakota Hudson","Cardinals","5.40","2.70","2.00","0.23","14.8 %","7.4 %","7.4 %",".218","1.10",".252","71.8 %","2.48","3.33","-0.86","3.68","19206"
"Griffin Canning","Angels","9.00","0.82","11.00","1.23","23.7 %","2.2 %","21.5 %",".253","1.09",".302","65.8 %","4.91","3.61","1.30","4.65","19867"
"James Paxton","Yankees","11.17","4.19","2.67","1.16","30.0 %","11.3 %","18.8 %",".214","1.24",".281","63.4 %","4.42","3.75","0.67","4.27","11828"
