"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Luke Maile","Blue Jays","27.00","0.00","1.00","0.00","100.0 %","0.0 %","100.0 %",".000","0.00",".000","100.0 %","0.00","-2.91","2.91","-2.91","13355"
"Ryan Burr","White Sox","11.25","2.25","5.00","0.00","27.0 %","5.4 %","21.6 %",".294","1.50",".400","50.0 %","4.50","1.34","3.16","3.25","17536"
"David Price","Red Sox","5.79","0.00","3.00","0.00","16.7 %","0.0 %","16.7 %",".222","0.86",".267","100.0 %","0.00","1.80","-1.80","2.62","3184"
"Mike Minor","Rangers","11.57","4.63","2.50","0.00","31.3 %","12.5 %","18.8 %",".190","1.20",".296","85.7 %","1.54","2.06","-0.52","4.02","10021"
"Chance Adams","Yankees","13.50","6.75","2.00","0.00","40.0 %","20.0 %","20.0 %",".000","0.75",".000","100.0 %","0.00","2.34","-2.34","3.77","18135"
"Hyun-Jin Ryu","Dodgers","9.50","0.00","19.00","1.00","28.8 %","0.0 %","28.8 %",".200","0.72",".244","88.2 %","2.00","2.42","-0.42","2.36","14444"
"Yusei Kikuchi","Mariners","8.25","0.75","11.00","0.75","23.9 %","2.2 %","21.7 %",".222","0.92",".273","62.5 %","2.25","2.59","-0.34","3.26","20633"
"Patrick Corbin","Nationals","13.75","3.44","4.00","0.98","38.4 %","9.6 %","28.8 %",".167","0.98",".250","98.7 %","1.47","2.60","-1.13","3.16","9323"
"Andrew Cashner","Orioles","8.10","4.63","1.75","0.00","21.7 %","12.4 %","9.3 %",".176","1.16",".234","92.6 %","0.77","2.83","-2.06","4.80","8782"
"Ryan Yarbrough","Rays","9.64","0.96","10.00","0.96","27.0 %","2.7 %","24.3 %",".235","0.96",".292","34.9 %","6.75","2.98","3.77","3.43","16502"
"Joe Musgrove","Pirates","7.25","1.61","4.50","0.40","18.2 %","4.0 %","14.1 %",".261","1.25",".315","57.4 %","4.03","3.00","1.03","3.87","12970"
"Pablo Sandoval","Giants","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","3.09","-3.09","8.82","5409"
"Aaron Altherr","Phillies","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".500","3.00",".500","0.0 %","27.00","3.09","23.91","3.09","11270"
"Jose Rondon","White Sox","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","3.09","-3.09","8.82","14140"
"Mike Soroka","Braves","9.37","3.86","2.43","0.55","24.3 %","10.0 %","14.3 %",".197","1.16",".250","96.8 %","1.10","3.27","-2.17","3.41","18383"
"Steven Brault","Pirates","12.27","3.68","3.33","1.23","33.3 %","10.0 %","23.3 %",".192","1.09",".250","75.8 %","3.68","3.36","0.32","3.41","15291"
"Tyler Skaggs","Angels","9.72","3.24","3.00","1.08","24.3 %","8.1 %","16.2 %",".294","1.56",".375","94.8 %","2.16","3.57","-1.41","4.30","10190"
"Edwin Jackson","Blue Jays","4.76","3.18","1.50","0.00","12.5 %","8.3 %","4.2 %",".238","1.24",".278","75.0 %","3.18","3.62","-0.44","5.98","1841"
"J.A. Happ","Yankees","5.84","2.19","2.67","0.73","14.8 %","5.6 %","9.3 %",".260","1.30",".293","83.3 %","2.92","3.82","-0.90","4.16","7410"
"Jason Vargas","Mets","8.44","1.69","5.00","1.69","20.8 %","4.2 %","16.7 %",".304","1.50",".353","30.3 %","10.13","4.21","5.91","5.36","8044"
"Brad Peacock","Astros","8.75","2.66","3.29","1.52","23.2 %","7.1 %","16.2 %",".244","1.23",".281","77.9 %","4.18","4.36","-0.17","4.50","5401"
"Charlie Morton","Rays","14.09","5.09","2.77","1.57","35.0 %","12.6 %","22.3 %",".221","1.39",".326","65.8 %","5.48","4.44","1.04","3.50","4676"
"Carlos Carrasco","Indians","10.17","2.35","4.33","1.96","27.4 %","6.3 %","21.1 %",".264","1.26",".310","95.5 %","3.13","4.44","-1.31","4.02","6632"
"Freddy Peralta","Brewers","12.56","4.40","2.86","1.88","31.8 %","11.1 %","20.6 %",".232","1.40",".303","69.6 %","5.02","4.48","0.54","4.03","18679"
"Mike Fiers","Athletics","6.12","2.52","2.43","1.44","15.7 %","6.5 %","9.3 %",".286","1.40",".304","79.0 %","4.32","4.77","-0.45","4.90","7754"
"Yu Darvish","Cubs","11.51","5.75","2.00","1.77","27.4 %","13.7 %","13.7 %",".259","1.67",".327","70.4 %","6.20","5.01","1.19","3.76","13074"
"Jakob Junis","Royals","7.52","2.73","2.75","1.71","18.5 %","6.7 %","11.8 %",".287","1.48",".317","64.7 %","6.15","5.03","1.13","4.52","13619"
"Kyle Gibson","Twins","8.06","1.75","4.60","2.10","20.4 %","4.4 %","15.9 %",".269","1.29",".286","63.9 %","5.61","5.15","0.46","3.75","10123"
"Cal Quantrill","Padres","4.50","4.50","1.00","0.90","10.0 %","10.0 %","0.0 %",".395","2.20",".421","78.7 %","5.40","5.19","0.21","6.56","19312"
"Manny Banuelos","White Sox","9.90","5.40","1.83","1.80","25.0 %","13.6 %","11.4 %",".297","1.70",".360","84.5 %","4.50","5.29","-0.79","4.60","5365"
"Andrew Suarez","Giants","0.00","6.75","0.00","0.00","0.0 %","16.7 %","-16.7 %",".200","1.50",".200","100.0 %","0.00","5.34","-5.34","6.77","18300"
"Tyler Mahle","Reds","7.29","2.57","2.83","2.14","18.3 %","6.5 %","11.8 %",".299","1.52",".323","84.0 %","4.71","5.42","-0.71","4.78","16358"
"Sandy Alcantara","Marlins","4.55","4.55","1.00","1.42","11.7 %","11.7 %","0.0 %",".269","1.52",".270","63.4 %","5.40","5.65","-0.25","5.71","18684"
"Ryne Stanek","Rays","9.26","3.86","2.40","2.31","24.5 %","10.2 %","14.3 %",".205","1.20",".207","100.0 %","3.09","5.66","-2.57","5.26","15947"
"Kyle Freeland","Rockies","14.54","4.15","3.50","3.12","30.4 %","8.7 %","21.7 %",".333","2.08",".440","65.2 %","8.31","5.74","2.57","3.89","16256"
"Montana DuRapau","Pirates","12.00","3.00","4.00","3.00","30.8 %","7.7 %","23.1 %",".250","1.33",".286","38.5 %","9.00","5.76","3.24","2.70","16768"
"Jhoulys Chacin","Brewers","3.91","5.09","0.77","1.57","10.4 %","13.5 %","-3.1 %",".188","1.22",".159","62.5 %","5.48","6.18","-0.70","6.41","2608"
"Jake Arrieta","Phillies","5.47","5.11","1.07","1.82","13.6 %","12.7 %","0.9 %",".277","1.62",".280","79.4 %","4.38","6.33","-1.95","6.10","4153"
"Jorge Lopez","Royals","10.55","3.38","3.13","3.38","24.8 %","7.9 %","16.8 %",".319","1.73",".362","79.1 %","6.75","7.03","-0.28","4.30","14527"
"Chad Green","Yankees","9.95","4.26","2.33","2.84","21.9 %","9.4 %","12.5 %",".296","1.74",".333","29.4 %","12.79","7.35","5.44","5.36","15552"
"Taylor Clarke","Diamondbacks","0.00","0.00","0.00","2.45","0.0 %","0.0 %","0.0 %",".333","1.36",".286","100.0 %","2.45","7.45","-5.00","6.51","17611"
"Dakota Hudson","Cardinals","7.88","6.38","1.24","3.00","16.9 %","13.7 %","3.2 %",".349","2.25",".372","79.4 %","5.63","7.80","-2.17","5.53","19206"
"Ryan Carpenter","Tigers","10.80","0.00","2.00","5.40","16.7 %","0.0 %","16.7 %",".583","4.20",".667","35.7 %","27.00","8.49","18.51","5.27","12699"
"Tyler White","Astros","0.00","27.00","0.00","0.00","0.0 %","50.0 %","-50.0 %",".000","3.00",".000","100.0 %","0.00","12.09","-12.09","17.82","15564"
"Chris Owings","Royals","0.00","0.00","0.00","6.75","0.0 %","0.0 %","0.0 %",".500","3.00",".429","76.9 %","13.50","12.84","0.66","8.82","10030"
