"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA","FIP","E-F","xFIP","playerid"
"Aaron Altherr","Phillies","27.00","0.00","2.00","0.00","66.7 %","0.0 %","66.7 %",".333","1.50","1.000","100.0 %","0.00","-2.91","2.91","-0.05","11270"
"Tyler White","Astros","13.50","0.00","1.00","0.00","50.0 %","0.0 %","50.0 %",".000","0.00",".000","100.0 %","0.00","0.09","-0.09","2.95","15564"
"Montana DuRapau","Pirates","11.81","1.69","7.00","0.00","31.8 %","4.6 %","27.3 %",".286","1.31",".429","85.7 %","1.69","1.03","0.66","1.38","16768"
"Cal Quantrill","Padres","9.00","0.00","5.00","0.00","26.3 %","0.0 %","26.3 %",".222","0.80",".286","25.0 %","5.40","1.09","4.31","2.62","19312"
"Taylor Clarke","Diamondbacks","6.75","0.00","4.00","0.00","22.2 %","0.0 %","22.2 %",".167","0.56",".214","66.7 %","1.69","1.59","0.10","2.66","17611"
"Ryne Stanek","Rays","9.60","2.40","4.00","0.00","28.6 %","7.1 %","21.4 %",".192","0.93",".278","57.1 %","3.60","1.76","1.84","3.79","15947"
"Brad Peacock","Astros","10.13","2.63","3.86","0.00","28.1 %","7.3 %","20.8 %",".163","0.88",".233","60.9 %","3.00","1.96","1.04","3.79","5401"
"Tyler Mahle","Reds","10.98","1.48","7.40","0.59","32.2 %","4.4 %","27.8 %",".211","0.92",".300","76.3 %","2.67","2.10","0.57","2.25","16358"
"Charlie Morton","Rays","8.90","3.45","2.58","0.00","25.2 %","9.8 %","15.5 %",".189","1.05",".263","93.9 %","0.57","2.26","-1.68","3.60","4676"
"Chance Adams","Yankees","10.80","0.00","2.00","0.00","28.6 %","0.0 %","28.6 %",".167","0.60",".250","100.0 %","0.00","2.49","-2.49","2.49","18135"
"Mike Soroka","Braves","7.62","2.22","3.43","0.00","21.8 %","6.4 %","15.5 %",".135","0.71",".176","80.0 %","0.95","2.67","-1.71","3.88","18383"
"Hyun-Jin Ryu","Dodgers","8.71","0.87","10.00","0.87","26.9 %","2.7 %","24.2 %",".186","0.75",".228","98.4 %","1.31","2.70","-1.40","2.88","14444"
"Kyle Gibson","Twins","10.22","2.92","3.50","0.73","28.6 %","8.2 %","20.4 %",".244","1.22",".333","69.9 %","3.28","2.85","0.44","3.11","10123"
"Carlos Carrasco","Indians","12.27","0.92","13.33","1.53","32.8 %","2.5 %","30.3 %",".271","1.19",".370","65.5 %","5.22","2.99","2.23","2.72","6632"
"Russell Martin","Dodgers","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","3.09","-3.09","5.00","4616"
"Joe Musgrove","Pirates","7.39","3.69","2.00","0.28","21.5 %","10.7 %","10.7 %",".159","0.95",".198","52.5 %","3.41","3.09","0.32","4.79","12970"
"Luke Maile","Blue Jays","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".000","0.00",".000","100.0 %","0.00","3.09","-3.09","3.09","13355"
"Jose Rondon","White Sox","0.00","0.00","0.00","0.00","0.0 %","0.0 %","0.0 %",".500","3.00",".500","100.0 %","0.00","3.09","-3.09","5.95","14140"
"Sandy Alcantara","Marlins","8.44","3.38","2.50","0.42","22.2 %","8.9 %","13.3 %",".241","1.27",".300","82.7 %","2.53","3.09","-0.56","4.00","18684"
"Dakota Hudson","Cardinals","5.87","1.96","3.00","0.39","15.8 %","5.3 %","10.5 %",".239","1.13",".274","62.5 %","3.13","3.13","0.00","3.31","19206"
"Jake Arrieta","Phillies","8.68","2.65","3.27","0.72","23.5 %","7.2 %","16.3 %",".248","1.21",".307","74.8 %","3.38","3.25","0.13","3.33","4153"
"Mike Minor","Rangers","8.83","2.38","3.71","1.02","24.6 %","6.6 %","18.0 %",".238","1.11",".285","83.7 %","2.89","3.50","-0.62","4.05","10021"
"David Price","Red Sox","10.65","2.48","4.30","1.49","30.1 %","7.0 %","23.1 %",".226","1.10",".286","72.8 %","3.72","3.69","0.02","3.49","3184"
"Patrick Corbin","Nationals","9.53","2.78","3.43","1.19","25.7 %","7.5 %","18.2 %",".226","1.15",".274","72.4 %","3.97","3.75","0.22","3.93","9323"
"Yusei Kikuchi","Mariners","7.08","2.42","2.92","1.30","19.3 %","6.6 %","12.7 %",".227","1.12",".246","68.6 %","3.72","4.27","-0.54","4.44","20633"
"Tyler Skaggs","Angels","8.45","3.27","2.58","1.36","21.8 %","8.5 %","13.4 %",".260","1.36",".301","59.0 %","5.73","4.36","1.37","4.59","10190"
"Ryan Yarbrough","Rays","4.91","2.45","2.00","1.23","13.1 %","6.6 %","6.6 %",".246","1.23",".255","52.6 %","6.14","4.59","1.55","5.03","16502"
"Jorge Lopez","Royals","7.06","3.68","1.92","1.23","18.6 %","9.7 %","8.9 %",".234","1.26",".256","61.1 %","5.52","4.83","0.70","4.81","14527"
"Jhoulys Chacin","Brewers","8.56","2.96","2.89","1.65","21.9 %","7.6 %","14.3 %",".276","1.39",".316","82.4 %","3.95","4.88","-0.93","4.81","2608"
"Jakob Junis","Royals","7.76","4.03","1.92","1.55","19.7 %","10.2 %","9.5 %",".277","1.52",".313","68.4 %","5.28","5.05","0.22","4.79","13619"
"Yu Darvish","Cubs","11.71","7.48","1.57","1.30","29.5 %","18.9 %","10.7 %",".191","1.48",".250","78.1 %","4.23","5.19","-0.96","4.55","13074"
"Freddy Peralta","Brewers","8.85","2.21","4.00","2.21","20.2 %","5.1 %","15.2 %",".308","1.62",".343","60.7 %","6.64","5.35","1.29","4.97","18679"
"Mike Fiers","Athletics","6.75","3.38","2.00","1.69","18.3 %","9.2 %","9.2 %",".195","1.06",".186","59.4 %","5.63","5.43","0.19","5.74","7754"
"Kyle Freeland","Rockies","6.60","4.12","1.60","1.85","16.8 %","10.5 %","6.3 %",".223","1.31",".219","64.7 %","5.56","5.81","-0.25","5.50","16256"
"Jason Vargas","Mets","7.11","5.21","1.36","1.89","17.1 %","12.5 %","4.6 %",".260","1.58",".263","82.7 %","4.74","6.14","-1.40","5.82","8044"
